"","YEAR","TRANSECT","AGCL","AGJ","ALES","ASDI","ASFO","ASFOS","ASRU","ASRUS","BLD","BOEC","BOOV","BUUN","CABO","CABS","CAIR","CAIS","CAMA","CAMA JV","CAMS","CEBO","COF","COPE","CUFR","CYLU","DEAC","DEVI","ECPA","FLOUNDER","FUSP","HATO","HESA","HESAS","HOAM","HOAS","LADI","MESE","MOSA","MYOC","MYSC","MYSP","NO_FISH","PHGU","PLMA","POVI","PSAM","SADE","SDL","SDS","SL","SLJ","TAAD","TAON","TOAN","ULSP","un-readable*","URFE","URRE","NA"
"1",2014,"Broad Cove",6,0,0,0,6,0,10,0,6,0,0,0,10,0,10,6,0,0,0,4,0,0,0,0,6,6,0,0,0,0,10,0,10,0,0,0,0,0,0,6,0,6,0,1,0,0,0,6,6,6,0,0,0,4,0,0,0,0
"2",2014,"Broadway and 42nd",6,0,0,0,6,0,10,0,6,6,0,0,10,0,10,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,6,0,0,0,0,0,10,5,10,0,0,0,6,0,6,6,6,0,0,0,10,0,0,0,0
"3",2014,"Devil's Dance Floor",6,0,0,0,6,0,10,0,6,0,0,6,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,0,0,4,0,0,0,4,0,10,0,1,0,0,0,6,6,6,1,0,0,6,0,0,0,0
"4",2014,"Larus Ledge",6,0,0,0,6,0,6,0,6,0,0,0,10,0,10,6,0,0,0,0,0,0,0,4,6,6,0,0,0,0,10,0,10,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,6,6,3,0,0,0,0,0,0,0
"5",2014,"Magic 8 Ball",6,0,0,0,6,0,6,0,6,0,0,0,10,0,10,0,4,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,6,6,2,0,0,4,0,0,0,0
"6",2014,"North Head",6,0,0,0,10,0,10,0,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,10,0,0,6,0,4,0,10,5,4,0,0,0,0,6,6,6,6,0,0,0,6,0,0,0,0
"7",2014,"North Pepperrell",0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,6,4,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,4,0,0,0,0,0,0,10,0,10,0,0,0,0,0,6,6,6,2,0,0,4,0,0,0,0
"8",2014,"North Smith's Cove",6,0,0,6,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,0,6,0,0,6,6,6,0,0,0,10,0,10,6,0,0,0,0,0,4,0,10,0,1,0,0,0,6,6,6,2,0,0,4,0,0,0,0
"9",2014,"Norwegian Cove",6,0,0,0,6,0,10,0,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,0,0,0,0,4,0,4,0,10,0,1,0,0,0,6,6,6,0,0,0,4,4,0,0,0
"10",2014,"Sandpiper Beach",6,0,0,0,6,0,6,0,6,0,0,0,10,0,10,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,10,0,0,0,0,0,0,4,0,10,0,1,0,0,0,6,6,6,1,0,0,0,0,0,0,0
"11",2014,"South Pepperrell",0,0,0,0,4,0,10,6,0,0,0,0,4,0,4,6,0,0,0,0,6,0,0,0,6,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,0,10,0,0,0,0,6,6,6,0,1,0,0,0,0,0,0,0
"12",2014,"South Smith's Cove",6,0,0,0,0,0,4,0,6,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,4,0,4,0,0,0,0,4,0,4,0,10,0,1,0,0,0,6,6,0,0,0,0,4,0,0,0,0
"13",2015,"Broad Cove",6,0,0,0,10,6,10,6,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,10,6,0,0,0,0,4,10,0,10,0,1,0,0,0,6,6,6,1,0,0,0,0,0,0,0
"14",2015,"Broadway and 42nd",6,6,0,0,10,6,10,6,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,6,10,6,0,0,0,0,0,10,0,10,0,0,0,6,0,6,6,6,1,0,0,0,0,6,1,0
"15",2015,"Devil's Dance Floor",6,0,6,0,10,6,10,6,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,6,6,0,0,0,0,10,0,10,0,1,0,6,0,6,6,6,2,0,0,0,0,0,0,0
"16",2015,"Larus Ledge",6,6,0,0,10,6,10,0,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,6,10,6,0,0,0,0,0,10,0,10,0,1,0,0,6,6,6,6,1,0,0,0,0,0,0,0
